mz,rt,group,CMP,intensity,annotation,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5,neutral_mass,cmp_ppm,size,intensity_rel,isogroup,isonr,charge,adduct_ion,ppm
340.2488708,634,M340_R634_3660,CMP1259,22787,none,9395,0,37491,50202,54383,40897,0,0,0,0,0,0,0,0,0,9278,0,6706,0,5824,6151,0,0,0,0,0,0,0,0,7370,0,6814,7505,0,0,7015,7069,0,0,6730,7462,6814,341.2561,NA,3,100,NA,NA,NA,[M-H]-,NA
340.2494876,367,M340_R367_3661,NA,0,none,35083,0,0,0,0,0,0,0,0,6509,0,0,0,0,0,15708,0,0,0,0,0,0,0,0,0,0,0,0,0,18856,0,19347,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.2576161,832,M340_R832_3662,NA,0,none,6622,0,9173,10980,10842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.2504527,224,M340_R224_3663,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,13262,16298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.2853381,785,M340_R785_3665,CMP1494,32056,none,26776,0,61319,14566,81937,65027,0,0,0,11929,6724,0,0,0,7934,14335,0,29197,52370,48602,18766,0,0,0,6646,6162,6844,7659,0,0,0,0,0,0,0,0,0,14146,10250,31910,15667,12126,341.2926,0.29,3,68.23937724,NA,NA,NA,[M-H]-,NA
340.2857971,863,M340_R863_3666,CMP2350,113292,none,41486,51213,59472,93759,98980,213264,0,0,0,7733,0,0,0,0,18582,35584,0,132499,279481,245584,16963,0,0,0,0,0,0,50915,0,0,0,0,0,0,7487,13087,51124,11082,0,93004,8413,90599,341.2931,NA,2,100,1,0,1,[M-H]-,NA
340.2935522,986,M340_R986_3667,CMP536,8987,none,6150,0,6349,7398,8088,10836,0,0,0,0,0,0,0,0,0,0,0,19035,10268,8771,0,0,0,0,0,0,0,6851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.2883,0.2,6,18.98730636,NA,NA,NA,NA,NA
340.3305697,1327,M340_R1327_3668,NA,0,none,12811,0,12530,8578,11721,20844,0,0,0,0,0,0,0,0,0,0,0,10427,8285,8172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9816,0,9778,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.3306244,1064,M340_R1064_3669,CMP479,4014,none,0,0,0,0,0,6940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.5,1.77,6,28.34635726,1,1,1,NA,NA
340.3511773,794,M340_R794_3670,NA,0,none,15735,0,0,0,0,0,0,0,0,0,0,0,11766,17547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7743,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
