mz,rt,intensity,Formula
304.0146,1,753,C8H5F9O2
304.0146,1,457,C8H5F9O2
304.0146,1,914,C8H5F9O2
304.0146,1,364,C8H5F9O2
304.019,1,856,C8H11F7S2
304.0334,1,891,C11H7F7O2
304.0334,1,382,C11H7F7O2
304.0334,1,291,C11H7F7O2
304.0334,1,105,C11H7F7O2
304.0447,1,521,C10H7F7N2O
304.051,1,269,C9H9F9O
304.0874,1,883,C10H13F9
304.9921,1,417,C7H4F9NS
305.0109,1,900,C10H6F7NS
305.0287,1,180,C10H6F7NO2
305.1212,1,738,C10H11F7O2
305.9938,1,256,C7H3F9O3
305.9938,1,146,C7H3F9O3
305.9938,1,438,C7H3F9O3
306.0051,1,411,C6H3F9N2O2
306.0058,1,883,C8H7ClF8O
306.0127,1,565,C10H5F7O3
306.0127,1,451,C10H5F7O3
306.0302,1,515,C8H7F9O2
306.0302,1,434,C8H7F9O2
306.0302,1,155,C8H7F9O2
306.0302,1,542,C8H7F9O2
306.0313,1,930,C11H9F7S
306.0491,1,120,C11H9F7O2
306.0666,1,502,C9H11F9O
306.0666,1,637,C9H11F9O
306.0666,1,122,C9H11F9O
306.0729,1,751,C11H11F7NO
306.1275,1,486,C10H11F7O2
307.0079,1,424,C9H4F7NO3
307.0192,1,721,C8H4F7N3O2
307.0243,1,237,C10H5F8NO
307.0243,1,952,C10H5F8NO
307.0255,1,172,C7H6F9NO2
307.9839,1,235,C10H4ClF7O
307.9895,1,103,C7H2F10O2
308.0095,1,587,C7H5F9O3
308.0459,1,746,C8H9F9O2
308.0459,1,465,C8H9F9O2
309.0047,1,506,C6H4F9NO3
309.9089,1,776,C4H2F7I
309.9688,1,629,C6F10O3
309.9688,1,607,C6F10O3
309.9888,1,170,C6H3F9O4
310.0074,1,718,C7H7F9OS
310.0074,1,473,C7H7F9OS
310.0188,1,361,C8H5F7N2O3
310.0404,1,589,C11H7F9
310.0804,1,918,C11H13F7O2
310.9804,1,189,C6F11NO
310.9963,1,732,C7H4F7N3OS
311.0357,1,104,C10H6F9N
311.0357,1,689,C10H6F9N
